repository_language,repos_by_lang
JavaScript,792613
Java,562142
Ruby,480181
CSS,354845
PHP,347113
Python,317525
C,290113
C++,164936
C#,123707
Objective-C,119454
Shell,99729
Perl,73465
CoffeeScript,43592
R,42116
Go,38180
Scala,23399
Swift,20939
TeX,17183
Lua,17120
VimL,17070
Haskell,14979
Clojure,14921
Groovy,13037
Matlab,9789
Puppet,9233
Arduino,8091
TypeScript,7621
Emacs Lisp,7233
Visual Basic,5811
Rust,5342
Erlang,5209
PowerShell,4642
XSLT,4561
Processing,4490
ActionScript,3967
D,3894
Assembly,3779
ASP,3584
Dart,3559
FORTRAN,2984
OCaml,2971
Scheme,2886
Makefile,2812
Elixir,2782
Pascal,2497
Julia,2379
F#,2178
Common Lisp,1969
VHDL,1870
Tcl,1774
